version,dataset,patch_size,blocks,threads,time
./bin/v1,./data/noise_image_tulips_const.txt,7,512,256,0.247548
./bin/v1,./data/noise_image_tulips_const.txt,7,512,512,0.368966
./bin/v1,./data/noise_image_tulips_const.txt,7,512,1024,0.520910
./bin/v1,./data/noise_image_tulips_const.txt,7,512,2048,0.002247
./bin/v1,./data/noise_image_tulips_const.txt,7,1024,32,0.221498
./bin/v1,./data/noise_image_tulips_const.txt,7,1024,64,0.227186
./bin/v1,./data/noise_image_tulips_const.txt,7,1024,128,0.237260
./bin/v1,./data/noise_image_tulips_const.txt,7,1024,256,0.247985
./bin/v1,./data/noise_image_tulips_const.txt,7,1024,512,0.369058
./bin/v1,./data/noise_image_tulips_const.txt,7,1024,1024,0.522783
./bin/v1,./data/noise_image_tulips_const.txt,7,1024,2048,0.002224
./bin/v1,./data/noise_image_tulips_const.txt,7,2048,32,0.218642
./bin/v1,./data/noise_image_tulips_const.txt,7,2048,64,0.227164
./bin/v1,./data/noise_image_tulips_const.txt,7,2048,128,0.238314
./bin/v1,./data/noise_image_tulips_const.txt,7,2048,256,0.247830
./bin/v1,./data/noise_image_tulips_const.txt,7,2048,512,0.368841
./bin/v1,./data/noise_image_tulips_const.txt,7,2048,1024,0.520021
./bin/v1,./data/noise_image_tulips_const.txt,7,2048,2048,0.002258
./bin/v1,./data/noise_image_tulips_const.txt,7,4094,32,0.220669
./bin/v1,./data/noise_image_tulips_const.txt,7,4094,64,0.285879
./bin/v1,./data/noise_image_tulips_const.txt,7,4094,128,0.317093
./bin/v1,./data/noise_image_tulips_const.txt,7,4094,256,0.247506
./bin/v1,./data/noise_image_tulips_const.txt,7,4094,512,0.368406
./bin/v1,./data/noise_image_tulips_const.txt,7,4094,1024,0.520406
./bin/v1,./data/noise_image_tulips_const.txt,7,4094,2048,0.002258
./bin/v1,./data/noise_image_house_const.txt,3,16,32,0.015607
./bin/v1,./data/noise_image_house_const.txt,3,16,64,0.008173
./bin/v1,./data/noise_image_house_const.txt,3,16,128,0.004661
./bin/v1,./data/noise_image_house_const.txt,3,16,256,0.002828
./bin/v1,./data/noise_image_house_const.txt,3,16,512,0.003222
./bin/v1,./data/noise_image_house_const.txt,3,16,1024,0.005623
./bin/v1,./data/noise_image_house_const.txt,3,16,2048,0.000343
./bin/v1,./data/noise_image_house_const.txt,3,32,32,0.008054
./bin/v1,./data/noise_image_house_const.txt,3,32,64,0.004517
./bin/v1,./data/noise_image_house_const.txt,3,32,128,0.002793
./bin/v1,./data/noise_image_house_const.txt,3,32,256,0.002859
./bin/v1,./data/noise_image_house_const.txt,3,32,512,0.007101
./bin/v1,./data/noise_image_house_const.txt,3,32,1024,0.013347
./bin/v1,./data/noise_image_house_const.txt,3,32,2048,0.000314
./bin/v1,./data/noise_image_house_const.txt,3,64,32,0.009627
./bin/v1,./data/noise_image_house_const.txt,3,64,64,0.005693
./bin/v1,./data/noise_image_house_const.txt,3,64,128,0.005868
